framework,scenario,run,value,status,hwnd,focusHwnd,queryFocus,windowDpi,windowLeft,windowTop,windowWidth,windowHeight,query,resultCount,workingSetBytes,privateBytes,handleCount,userObjects,gdiObjects
avalonia,cold-startup-warmup,1,989.096,pass,8587896,8587896,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup-warmup,2,984.962,pass,14158494,14158494,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup-warmup,3,997.125,pass,45484130,45484130,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup-warmup,4,968.271,pass,58523986,58523986,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup-warmup,5,990.175,pass,23725296,23725296,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,1,1035.299,pass,36047376,36047376,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,2,1000.941,pass,45746274,45746274,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,3,1006.655,pass,58786130,58786130,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,4,989.874,pass,23987440,23987440,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,5,987.034,pass,36309520,36309520,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,6,979.854,pass,32966770,32966770,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,7,965.187,pass,59048274,59048274,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,8,960.892,pass,22743600,22743600,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,9,969.572,pass,32311766,32311766,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,10,968.828,pass,59639490,59639490,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,11,984.721,pass,59310418,59310418,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,12,973.343,pass,36833808,36833808,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,13,971.007,pass,33425522,33425522,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,14,968.919,pass,59901634,59901634,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,15,970.247,pass,51514190,51514190,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,16,974.316,pass,24773872,24773872,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,17,968.585,pass,20316424,20316424,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,18,973.672,pass,46925922,46925922,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,19,983.322,pass,12322658,12322658,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,20,980.172,pass,47122530,47122530,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,21,978.479,pass,20578568,20578568,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,22,969.219,pass,23661104,23661104,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,23,960.892,pass,12584802,12584802,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,24,956.514,pass,34146418,34146418,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,25,955.585,pass,9505468,9505468,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,26,968.238,pass,37620372,37620372,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,27,969.176,pass,52366158,52366158,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,28,952.382,pass,10750584,10750584,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,29,953.082,pass,12978018,12978018,True,96,1380,516,680,360,,,,,,,
avalonia,cold-startup,30,955.189,pass,33688022,33688022,True,96,1380,516,680,360,,,,,,,
avalonia,monitor-placement,1,96.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,monitor-placement,2,144.000,pass,52628302,52628302,True,144,4850,54,1020,540,,,,,,,
avalonia,monitor-placement,3,96.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,resource-snapshot,0,0.000,observed,,,,,,,,,,,153165824,184827904,941,48,75
avalonia,hotkey-visible,1,14.243,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,2,13.146,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,3,14.887,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,4,14.485,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,5,14.270,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,6,13.641,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,7,15.179,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
