framework,scenario,run,value,status,hwnd,focusHwnd,queryFocus,windowDpi,windowLeft,windowTop,windowWidth,windowHeight,query,resultCount,workingSetBytes,privateBytes,handleCount,userObjects,gdiObjects
winui,cold-startup-warmup,1,381.823,pass,32967184,29886578,True,96,1380,516,680,360,,,,,,,
winui,cold-startup-warmup,2,386.830,pass,47647566,33098388,True,96,1380,516,680,360,,,,,,,
winui,cold-startup-warmup,3,396.021,pass,11537054,29362646,True,96,1380,516,680,360,,,,,,,
winui,cold-startup-warmup,4,399.027,pass,42928226,16646408,True,96,1380,516,680,360,,,,,,,
winui,cold-startup-warmup,5,394.334,pass,20972784,30148722,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,1,389.076,pass,11733662,56559298,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,2,384.973,pass,48040782,30279794,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,3,387.127,pass,33622676,56690370,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,4,387.373,pass,33622544,30410866,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,5,383.041,pass,6032060,56821442,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,6,389.185,pass,21431536,30541938,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,7,382.461,pass,12192414,56952514,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,8,381.962,pass,48499534,30673010,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,9,387.894,pass,17301768,30149078,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,10,394.470,pass,6359740,30804082,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,11,382.461,pass,57214658,30280150,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,12,387.569,pass,12585630,34343572,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,13,380.773,pass,34343440,30411222,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,14,382.257,pass,22021360,34474644,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,15,399.055,pass,21823954,30542294,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,16,388.011,pass,6818492,34605716,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,17,388.292,pass,57673410,30673366,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,18,381.939,pass,13044382,34736788,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,19,383.632,pass,34802192,30804438,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,20,389.115,pass,31459442,22151634,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,21,393.951,pass,22611184,34933396,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,22,404.531,pass,49548110,31001046,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,23,400.212,pass,13437598,35064468,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,24,388.476,pass,44828770,31132118,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,25,380.882,pass,58263234,35195540,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,26,385.776,pass,7539388,31263190,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,27,379.394,pass,23069936,35326612,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,28,384.242,pass,50006862,31394262,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,29,398.228,pass,13896350,35457684,True,96,1380,516,680,360,,,,,,,
winui,cold-startup,30,387.800,pass,32180338,31525334,True,96,1380,516,680,360,,,,,,,
winui,monitor-placement,1,96.000,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,monitor-placement,2,144.000,pass,35654160,35588756,True,144,4850,54,1020,540,,,,,,,
winui,monitor-placement,3,96.000,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,resource-snapshot,0,0.000,observed,,,,,,,,,,,172404736,171786240,1293,55,109
winui,hotkey-visible,1,31.652,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,2,22.640,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,3,26.161,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,4,25.091,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,5,27.876,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,6,24.289,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,7,20.456,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,8,26.615,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,9,23.644,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,10,24.836,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,11,22.807,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,12,19.404,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,13,21.929,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,14,21.269,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,15,20.985,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,16,23.012,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,17,26.126,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,18,21.942,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,19,27.613,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,20,21.721,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,21,26.903,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,22,23.068,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,23,20.178,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,24,21.756,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,25,21.559,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,26,19.709,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,27,21.824,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,28,27.889,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,29,25.869,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,30,23.490,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,31,22.516,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,32,27.496,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,33,20.773,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,34,18.718,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,35,26.071,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,36,23.791,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,37,26.275,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,38,25.430,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,39,23.902,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,40,23.650,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,41,23.030,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,42,27.964,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,43,19.596,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,44,28.267,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,45,25.319,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,46,23.148,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,47,27.763,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,48,24.761,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,49,21.297,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,50,26.710,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,51,26.107,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,52,24.172,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,53,25.716,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,54,22.130,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,55,20.299,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,56,28.347,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,57,25.282,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,58,22.077,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,59,19.742,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,60,25.836,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,61,25.011,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,62,26.421,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,63,23.346,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,64,27.151,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,65,24.903,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,66,20.577,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,67,25.895,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,68,23.476,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,69,22.107,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,70,27.307,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,71,23.445,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,72,18.276,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,73,26.629,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,74,21.318,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,75,19.155,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,76,25.673,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,77,23.969,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,78,27.425,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,79,22.036,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,80,20.645,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,81,21.373,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,82,22.255,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,83,20.556,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,84,22.769,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,85,21.119,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,86,19.913,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,87,19.405,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,88,25.015,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,89,23.110,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,90,26.500,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,91,24.399,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,92,20.562,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,93,21.489,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,94,24.773,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,95,26.157,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,96,19.445,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,97,25.163,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,98,27.306,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,99,27.242,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,hotkey-visible,100,18.537,pass,35654160,35588756,True,96,1380,516,680,360,,,,,,,
winui,keyboard-flow,1,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
winui,keyboard-flow,2,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
winui,keyboard-flow,3,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
winui,keyboard-flow,4,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
